Country,Lat,Long,CummulativeCases
US,37.0902,-95.7129,57098767
Italy,43,12,11896347
Spain,40,-4,11890691
United Kingdom,55.3781,-3.436,9086562
Germany,51,9,9046257
France,46.2276,2.2137,8648950
Russia,60,90,7459042
China Hubei,30.9756,112.2707,7247370
Brazil,-14.235,-51.9253,6701409
Turkey,38.9637,35.2433,5868751
Iran,32,53,5778865
India,21,78,2677040
Peru,-9.19,-75.0152,2525086
Belgium,50.8333,4,2480956
Netherlands,52.1326,5.2913,2064754
Switzerland,46.8182,8.2275,1712876
Canada Quebec,52.9399,-73.5491,1531240
Saudi Arabia,24,45,1525485
Mexico,23.6345,-102.5528,1375760
Chile,-35.6751,-71.543,1322730
Portugal,39.3999,-8.2245,1311936
Pakistan,30.3753,69.3451,1187627
Ecuador,-1.8312,-78.1834,1174130
Sweden,63,16,1152059
Ireland,53.1424,-7.6921,995407
Austria,47.5162,14.5501,919252
Qatar,25.3548,51.1839,906881
Canada Ontario,51.2538,-85.3232,891809
"Korea, South",36,128,858314
Singapore,1.2833,103.8333,857703
Belarus,53.7098,27.9534,835575
Israel,31,35,822936
United Arab Emirates,24,54,734181
Poland,51.9194,19.1451,704348
Japan,36,138,695377
Romania,45.9432,24.9668,650603
Indonesia,-0.7893,113.9213,597264
Bangladesh,23.685,90.3563,588922
Ukraine,48.3794,31.1656,570103
Denmark,56.2639,9.5018,503303
Philippines,13,122,479076
Colombia,4.5709,-74.2973,466091
Norway,60.472,8.4689,463637
South Africa,-30.5595,22.9375,449361
Czechia,49.8175,15.473,427044
Serbia,44.0165,21.0059,424086
Dominican Republic,18.7357,-70.1627,415958
Egypt,26,30,383560
Kuwait,29.5,47.75,375711
