Date_SPX,SPX_Index,PX_VOLUME_SPX,Date_AXX,AXX_Index,PX_VOLUME_AXX,Date_CLXP,CLXP_Index,PX_VOLUME_CLXP,Date_ITLMS,ITLMS_Index,PX_VOLUME_ITLMS,Date_AS52,AS52_Index,PX_VOLUME_AS52,Date_SHSZ300,SHSZ300_Index,PX_VOLUME_SHSZ300
4/1/2019,2867.19,528797169,4/1/2019,917.34,2017240544,4/1/2019,8538.82,47478004,4/1/2019,23555.49,661085942,4/1/2019,6165.01,666031410,4/1/2019,3973.93,27138270448
4/2/2019,2867.24,473309122,4/2/2019,918.35,1907498909,4/2/2019,8563.08,43449077,4/2/2019,23562.05,583984372,4/2/2019,6191.23,766547200,4/2/2019,3971.29,22600034053
4/3/2019,2873.4,597904878,4/3/2019,921.19,1496743258,4/3/2019,8683.86,47526427,4/3/2019,23821.25,730543429,4/3/2019,6232.15,709974672,4/3/2019,4022.16,23191736833
4/4/2019,2879.39,444465997,4/4/2019,920.24,1992273920,4/4/2019,8668.32,45055075,4/4/2019,23769.07,771931814,4/4/2019,6181.76,742076274,4/4/2019,4062.23,26041093934
4/5/2019,2892.74,472262239,4/5/2019,922.5,2672277534,4/5/2019,8685.36,58319465,4/5/2019,23828.75,600199309,4/5/2019,6181.76,590502808,4/8/2019,4057.23,26750557632
4/8/2019,2895.77,468429129,4/8/2019,924.64,3829697176,4/8/2019,8684.04,38015506,4/8/2019,23846.21,675946760,4/8/2019,6171.14,603589434,4/9/2019,4075.43,18295680808
4/9/2019,2878.2,448236943,4/9/2019,926.18,2543535513,4/9/2019,8579.19,35801205,4/9/2019,23723.36,685564747,4/9/2019,6172.08,634931922,4/10/2019,4085.85,19468761253
4/10/2019,2888.21,401127827,4/10/2019,932.99,1602191622,4/10/2019,8575.7,39841917,4/10/2019,23713.62,811485098,4/10/2019,6175.06,538501171,4/11/2019,3997.58,16904964061
4/11/2019,2888.32,415962882,4/11/2019,938.47,2967803663,4/11/2019,8620.75,35846338,4/11/2019,23733.35,954592357,4/11/2019,6150.59,576574329,4/12/2019,3988.62,13586211801
4/12/2019,2907.41,505162651,4/12/2019,941.94,2012080692,4/12/2019,8694.98,39700413,4/12/2019,23910.69,868090730,4/12/2019,6203.23,597891217,4/15/2019,3975.52,18264557053
